instance,|R|,|T|,method,config,variables,clauses,timeout,status,objective,time,up,conflicts,gap
P-n23-k8,11,2,maxsat,AN,42368.0,203961.0,Yes,Feasible,30453,76.43,4452755993,67831348,4.20%
P-n23-k8,11,2,maxsat,BDD,107587.0,330866.0,Yes,Feasible,31522,2058.78,12247747974,76524632,0.67%
P-n23-k8,11,2,maxsat,BM,130237.0,311791.0,Yes,Feasible,31636,3045.07,9016252622,67829553,0.30%
P-n23-k8,11,2,mip,MIP,,,No,Optimal,31732,196.51*,,,0.00%
P-n23-k8,11,2,maxsat,SN,225319.0,394887.0,Yes,Feasible,31351,3288.27,14139653740,73673716,1.22%
P-n23-k8,11,2,maxsat,SWC,153874.0,587029.0,Yes,Feasible,31732,3457.23,8968498630,30806195,0.00%
P-n23-k8,17,3,maxsat,AN,28565.0,230353.0,Yes,Feasible,33829,620.21,6695166877,93874906,69.46%
P-n23-k8,17,3,maxsat,BDD,144772.0,446877.0,Yes,Feasible,19944,2232.34,14600345213,88138669,187.44%
P-n23-k8,17,3,maxsat,BM,182603.0,414412.0,Yes,Feasible,48964,2644.28,10338841320,76575758,17.08%
P-n23-k8,17,3,mip,MIP,,,Yes,Feasible,52038,3600.00,,,10.17%
P-n23-k8,17,3,maxsat,SN,359099.0,565583.0,Yes,Feasible,34969,2618.56,12320441904,67971563,63.94%
P-n23-k8,17,3,maxsat,SWC,228977.0,911108.0,Yes,Feasible,52141*,2744.79,7928673242,41001536,9.95%
P-n23-k8,22,4,maxsat,AN,40780.0,330126.0,Yes,Feasible,28472,156.49,9076729036,108750512,180.05%
P-n23-k8,22,4,maxsat,BDD,224836.0,691485.0,Yes,Feasible,19036,3021.20,17707544919,96534350,318.88%
P-n23-k8,22,4,maxsat,BM,273466.0,614673.0,Yes,Feasible,21984,316.68,11608865421,83856150,262.71%
P-n23-k8,22,4,mip,MIP,,,Yes,Feasible,71318*,3600.00,,,11.81%
P-n23-k8,22,4,maxsat,SN,536121.0,841769.0,Yes,Feasible,3620,143.44,15038097109,85513123,2102.68%
P-n23-k8,22,4,maxsat,SWC,347310.0,1381347.0,Yes,Feasible,63642,1906.15,15399519616,64557691,25.29%
P-n23-k8,28,5,maxsat,AN,51320.0,417543.0,Yes,Feasible,9132,15.73,10592051262,119415330,1054.11%
P-n23-k8,28,5,maxsat,BDD,294433.0,905249.0,Yes,Feasible,1681,56.61,18906927913,100877658,6169.68%
P-n23-k8,28,5,maxsat,BM,350136.0,786491.0,Yes,Feasible,1808,72.75,12437219860,86816221,5729.27%
P-n23-k8,28,5,mip,MIP,,,Yes,Feasible,94858*,3600.00,,,11.11%
P-n23-k8,28,5,maxsat,SN,679792.0,1066723.0,Yes,Feasible,3118,125.02,15806002686,92354641,3280.16%
P-n23-k8,28,5,maxsat,SWC,450899.0,1793183.0,Yes,Feasible,57831,2308.39,20160089068,66855715,82.24%
P-n23-k8,33,6,maxsat,AN,59918.0,489259.0,Yes,Feasible,14707,44.30,11038075064,121512662,737.75%
P-n23-k8,33,6,maxsat,BDD,339174.0,1045041.0,Yes,Feasible,12719,179.58,19549042402,101815291,868.69%
P-n23-k8,33,6,maxsat,BM,402440.0,910687.0,Yes,Feasible,5904,52.06,13187613213,93842967,1986.86%
P-n23-k8,33,6,mip,MIP,,,Yes,Feasible,107020*,3600.00,,,15.13%
P-n23-k8,33,6,maxsat,SN,784686.0,1233473.0,Yes,Feasible,15157,219.90,16371235656,97750145,712.88%
P-n23-k8,33,6,maxsat,SWC,522636.0,2079427.0,Yes,Feasible,18483,1348.78,21580790850,73730107,566.60%
A-n32-k5,16,3,maxsat,AN,64853.0,376256.0,Yes,Feasible,50619,307.46,9289021603,118967125,73.44%
A-n32-k5,16,3,maxsat,BDD,190168.0,610137.0,Yes,Feasible,46606,1058.25,14579895739,99376463,88.37%
A-n32-k5,16,3,maxsat,BM,232203.0,577627.0,Yes,Feasible,82230,3057.98,11304906750,83858851,6.77%
A-n32-k5,16,3,mip,MIP,,,Yes,Feasible,77797,3600.00,,,12.85%
A-n32-k5,16,3,maxsat,SN,402855.0,710508.0,Yes,Feasible,49266,831.60,13347644495,86786458,78.20%
A-n32-k5,16,3,maxsat,SWC,274357.0,1084959.0,No,Optimal,87794*,971.41,5525740342,42518101,0.00%
