stage,"(|R|,|T|,|k|)",method,config,tLimit,consumed,timeout,status,objective,time,restarts,conflicts,gap,gap_N
38,"(36,6,3)",maxsat,Asm-Uni,61.0,60.68,Yes,Optimal,155806,0.06,16524271,226,30.02%,112.06%
38,"(36,6,3)",mip,MIP-Cpx,70.02,70.01,Yes,Feasible,173068,65.06,,,17.05%,90.91%
38,"(36,6,3)",mip,MIP-Uni,67.44,67.01,Yes,Feasible,180642,67.01,,,12.15%,82.91%
38,"(36,6,3)",maxsat,PhG-Cpx,75.51,75.89,Yes,Feasible,201947,60.53,7492,460428,0.31%,63.61%
38,"(36,6,3)",maxsat,PhG-Uni,90.12,91.7,Yes,Feasible,202583,8.95,8462,541642,0.00%,63.10%
39,"(36,7,3)",maxsat,Asm-Cpx,81.08,81.92,Yes,Feasible,169732,0.12,21930017,7261,19.35%,94.66%
39,"(36,7,3)",maxsat,Asm-Uni,61.01,61.76,Yes,Optimal,169732,0.12,16605177,7261,19.35%,94.66%
39,"(36,7,3)",mip,MIP-Cpx,81.7,81.01,No,Optimal,190779,66.47,,,6.19%,73.19%
39,"(36,7,3)",mip,MIP-Uni,67.46,67.01,Yes,Feasible,180642,67.01,,,12.15%,82.91%
39,"(36,7,3)",maxsat,PhG-Cpx,88.08,89.05,Yes,Feasible,201947,87.84,5378,587012,0.31%,63.61%
39,"(36,7,3)",maxsat,PhG-Uni,90.04,91.7,Yes,Feasible,202583,90.92,5573,604128,0.00%,63.10%
40,"(37,7,3)",maxsat,Asm-Cpx,81.66,81.76,Yes,Feasible,175892,0.07,21651462,115,17.74%,87.85%
40,"(37,7,3)",maxsat,Asm-Uni,60.98,60.77,Yes,Optimal,175892,0.07,16193316,115,17.74%,87.85%
40,"(37,7,3)",mip,MIP-Cpx,82.34,82.01,Yes,Feasible,206524,67.57,,,0.28%,59.98%
40,"(37,7,3)",mip,MIP-Uni,67.48,67.01,Yes,Feasible,185270,55.79,,,11.78%,78.34%
40,"(37,7,3)",maxsat,PhG-Cpx,88.71,89.22,Yes,Optimal,204455,16.09,5024,515161,1.29%,61.60%
40,"(37,7,3)",maxsat,PhG-Uni,89.97,88.94,Yes,Feasible,207093,22.94,5731,582267,0.00%,59.55%
41,"(38,7,3)",maxsat,Asm-Cpx,82.27,82.96,Yes,Optimal,183954,0.06,20245706,99,16.65%,79.61%
41,"(38,7,3)",maxsat,Asm-Uni,60.99,60.87,Yes,Optimal,183954,0.07,14968635,99,16.65%,79.61%
41,"(38,7,3)",mip,MIP-Cpx,82.97,82.01,No,Optimal,214586,82.01,,,0.00%,53.97%
41,"(38,7,3)",mip,MIP-Uni,67.5,67.01,Yes,Feasible,185863,35.15,,,15.45%,77.77%
41,"(38,7,3)",maxsat,PhG-Cpx,89.36,90.13,Yes,Optimal,208740,88.27,5584,695261,2.80%,58.29%
41,"(38,7,3)",maxsat,PhG-Uni,90.02,92.01,Yes,Feasible,212416,81.62,6412,624637,1.02%,55.55%
42,"(39,7,3)",maxsat,Asm-Cpx,82.86,82.77,Yes,Optimal,191083,0.06,20895998,84,13.56%,72.91%
42,"(39,7,3)",maxsat,Asm-Uni,60.99,60.89,Yes,Optimal,191083,0.06,15238204,84,13.56%,72.91%
42,"(39,7,3)",mip,MIP-Cpx,83.63,83.01,No,Optimal,214586,83.01,,,1.13%,53.97%
42,"(39,7,3)",mip,MIP-Uni,67.53,67.01,No,Optimal,185863,67.01,,,16.75%,77.77%
42,"(39,7,3)",maxsat,PhG-Cpx,89.99,90.23,Yes,Feasible,216715,11.66,6450,694407,0.13%,52.46%
42,"(39,7,3)",maxsat,PhG-Uni,89.91,89.73,Yes,Feasible,217003,3.71,5631,608161,0.00%,52.26%
43,"(40,7,3)",maxsat,Asm-Cpx,83.48,83.97,Yes,Optimal,191083,79.04,20895825,129,17.57%,72.91%
43,"(40,7,3)",maxsat,Asm-Uni,61.0,61.93,Yes,Optimal,191083,58.03,15459344,129,17.57%,72.91%
43,"(40,7,3)",mip,MIP-Cpx,84.28,84.01,Yes,Feasible,215844,54.32,,,4.08%,53.08%
43,"(40,7,3)",mip,MIP-Uni,67.56,67.01,No,Optimal,185865,52.26,,,20.87%,77.77%
43,"(40,7,3)",maxsat,PhG-Cpx,90.65,91.64,Yes,Feasible,221883,29.15,7058,765683,1.25%,48.91%
43,"(40,7,3)",maxsat,PhG-Uni,89.92,91.29,Yes,Feasible,224650,71.34,7818,708977,0.00%,47.08%
44,"(41,7,3)",maxsat,Asm-Cpx,84.07,84.74,Yes,Feasible,191083,79.73,21218191,157,21.93%,72.91%
44,"(41,7,3)",maxsat,Asm-Uni,60.95,60.8,Yes,Feasible,191083,56.73,15102664,157,21.93%,72.91%
44,"(41,7,3)",mip,MIP-Cpx,84.91,84.01,No,Optimal,215844,84.01,,,7.94%,53.08%
44,"(41,7,3)",mip,MIP-Uni,67.59,67.01,No,Optimal,187813,67.01,,,24.05%,75.92%
44,"(41,7,3)",maxsat,PhG-Cpx,91.27,92.19,Yes,Feasible,231832,83.46,5519,703028,0.49%,42.52%
44,"(41,7,3)",maxsat,PhG-Uni,89.84,88.35,Yes,Feasible,232978,57.5,6213,744817,0.00%,41.82%
45,"(42,7,3)",maxsat,Asm-Cpx,84.65,84.96,Yes,Optimal,191083,79.85,21188832,192,28.47%,72.91%
45,"(42,7,3)",maxsat,Asm-Uni,60.96,60.79,Yes,Optimal,191083,57.15,15350804,192,28.47%,72.91%
45,"(42,7,3)",mip,MIP-Cpx,85.57,85.01,No,Optimal,223926,80.09,,,9.63%,47.55%
45,"(42,7,3)",mip,MIP-Uni,67.62,67.01,No,Optimal,187813,67.01,,,30.71%,75.92%
45,"(42,7,3)",maxsat,PhG-Cpx,91.89,92.19,Yes,Feasible,243954,75.58,7298,620403,0.63%,35.44%
45,"(42,7,3)",maxsat,PhG-Uni,89.93,91.51,Yes,Feasible,245489,82.23,8272,678547,0.00%,34.59%
46,"(42,8,3)",maxsat,Asm-Cpx,96.73,96.87,Yes,Optimal,210898,0.11,23668005,2865,16.40%,56.67%
46,"(42,8,3)",maxsat,Asm-Uni,60.97,61.0,Yes,Optimal,210898,0.1,14697773,2865,16.40%,56.67%
46,"(42,8,3)",mip,MIP-Cpx,97.83,97.01,No,Optimal,236197,85.37,,,3.93%,39.89%
46,"(42,8,3)",mip,MIP-Uni,67.66,67.01,No,Optimal,187813,67.01,,,30.71%,75.92%
46,"(42,8,3)",maxsat,PhG-Cpx,105.0,107.25,Yes,Feasible,243954,105.3,14917,1297322,0.63%,35.44%
46,"(42,8,3)",maxsat,PhG-Uni,89.83,91.91,Yes,Feasible,245489,89.05,13219,1125296,0.00%,34.59%
47,"(43,8,3)",maxsat,Asm-Cpx,97.42,98.05,Yes,Feasible,210898,92.14,23363900,116,16.40%,56.67%
47,"(43,8,3)",maxsat,Asm-Uni,60.96,61.16,Yes,Optimal,210898,56.97,14226767,116,16.40%,56.67%
47,"(43,8,3)",mip,MIP-Cpx,98.59,98.01,No,Optimal,236197,98.01,,,3.93%,39.89%
47,"(43,8,3)",mip,MIP-Uni,67.71,67.01,No,Optimal,187813,67.01,,,30.71%,75.92%
47,"(43,8,3)",maxsat,PhG-Cpx,105.62,107.14,Yes,Feasible,243954,105.08,9603,1069686,0.63%,35.44%
47,"(43,8,3)",maxsat,PhG-Uni,89.68,89.2,Yes,Feasible,245489,88.51,9229,1008937,0.00%,34.59%
48,"(44,8,3)",maxsat,Asm-Cpx,98.08,99.13,Yes,Feasible,217440,0.09,22841934,119,14.82%,51.95%
48,"(44,8,3)",maxsat,Asm-Uni,60.95,61.1,Yes,Feasible,217440,0.08,13566968,119,14.82%,51.95%
48,"(44,8,3)",mip,MIP-Cpx,99.34,99.01,Yes,Feasible,243160,84.26,,,2.68%,35.88%
48,"(44,8,3)",mip,MIP-Uni,67.76,67.01,No,Optimal,188220,55.49,,,32.65%,75.54%
48,"(44,8,3)",maxsat,PhG-Cpx,106.28,107.67,Yes,Feasible,249665,3.87,9547,1111301,0.00%,32.34%
48,"(44,8,3)",maxsat,PhG-Uni,89.72,91.71,Yes,Feasible,246118,3.15,9212,1025867,1.44%,34.25%
49,"(45,8,3)",maxsat,Asm-Cpx,98.7,99.19,Yes,Optimal,223671,0.08,22278257,139,11.91%,47.72%
49,"(45,8,3)",maxsat,Asm-Uni,60.94,61.18,Yes,Optimal,223671,0.07,13391315,139,11.91%,47.72%
49,"(45,8,3)",mip,MIP-Cpx,100.07,100.01,Yes,Feasible,244358,93.19,,,2.44%,35.21%
49,"(45,8,3)",mip,MIP-Uni,67.83,67.01,No,Optimal,194451,48.28,,,28.73%,69.92%
49,"(45,8,3)",maxsat,PhG-Cpx,106.94,107.75,Yes,Feasible,249665,105.43,12192,1139287,0.26%,32.34%
49,"(45,8,3)",maxsat,PhG-Uni,89.55,89.67,Yes,Feasible,250321,3.04,13483,1312391,0.00%,31.99%
50,"(46,8,3)",maxsat,Asm-Cpx,99.36,100.13,Yes,Optimal,228413,0.07,22356697,99,12.26%,44.65%
50,"(46,8,3)",maxsat,Asm-Uni,60.91,61.17,Yes,Optimal,228413,0.07,13275040,99,12.26%,44.65%
50,"(46,8,3)",mip,MIP-Cpx,100.78,100.01,No,Optimal,256182,89.83,,,0.09%,28.97%
50,"(46,8,3)",mip,MIP-Uni,67.9,67.01,No,Optimal,199193,67.01,,,28.73%,65.87%
50,"(46,8,3)",maxsat,PhG-Cpx,107.64,108.85,Yes,Feasible,255519,3.55,12026,1347708,0.35%,29.31%
50,"(46,8,3)",maxsat,PhG-Uni,89.54,91.65,Yes,Feasible,256421,3.69,11928,1144462,0.00%,28.85%
51,"(47,8,3)",maxsat,Asm-Cpx,100.0,100.16,Yes,Optimal,228413,94.63,22580126,156,15.42%,44.65%
51,"(47,8,3)",maxsat,Asm-Uni,60.89,61.16,Yes,Optimal,228413,57.37,13383022,156,15.42%,44.65%
51,"(47,8,3)",mip,MIP-Cpx,101.56,101.01,No,Optimal,258942,1.76,,,1.81%,27.60%
51,"(47,8,3)",mip,MIP-Uni,67.99,67.01,No,Optimal,199193,67.01,,,32.35%,65.87%
51,"(47,8,3)",maxsat,PhG-Cpx,108.29,110.61,Yes,Feasible,262027,37.82,11607,1083095,0.61%,26.10%
51,"(47,8,3)",maxsat,PhG-Uni,89.33,91.35,Yes,Feasible,263630,4.4,12670,1428682,0.00%,25.33%
52,"(48,8,3)",maxsat,Asm-Cpx,100.68,101.14,Yes,Optimal,228413,95.7,21965285,194,20.12%,44.65%
52,"(48,8,3)",maxsat,Asm-Uni,60.86,61.2,Yes,Optimal,228413,57.33,13003018,194,20.12%,44.65%
52,"(48,8,3)",mip,MIP-Cpx,102.32,102.01,Yes,Feasible,269433,84.55,,,1.83%,22.63%
52,"(48,8,3)",mip,MIP-Uni,68.1,68.01,Yes,Feasible,199193,68.01,,,37.74%,65.87%
52,"(48,8,3)",maxsat,PhG-Cpx,108.83,110.54,Yes,Feasible,272199,31.68,10513,1178444,0.80%,21.38%
52,"(48,8,3)",maxsat,PhG-Uni,89.1,89.06,Yes,Feasible,274373,6.93,10540,1085285,0.00%,20.42%
53,"(48,9,3)",maxsat,Asm-Cpx,113.21,114.25,Yes,Optimal,241047,0.15,25359216,8261,14.55%,37.07%
53,"(48,9,3)",maxsat,Asm-Uni,60.82,61.24,Yes,Optimal,241047,0.15,13291843,8261,14.55%,37.07%
53,"(48,9,3)",mip,MIP-Cpx,115.14,115.01,Yes,Feasible,276122,111.72,,,0.00%,19.66%
53,"(48,9,3)",mip,MIP-Uni,68.11,68.01,Yes,Feasible,199193,68.01,,,38.62%,65.87%
53,"(48,9,3)",maxsat,PhG-Cpx,122.24,123.81,Yes,Feasible,272199,121.39,11272,1289729,1.44%,21.38%
53,"(48,9,3)",maxsat,PhG-Uni,89.11,92.35,Yes,Feasible,274373,87.88,14266,1591263,0.64%,20.42%
54,"(49,9,3)",maxsat,Asm-Cpx,113.86,114.27,Yes,Feasible,241047,108.1,25145503,356,15.38%,37.07%
54,"(49,9,3)",maxsat,Asm-Uni,60.75,61.37,Yes,Optimal,241047,57.4,13411762,356,15.38%,37.07%
54,"(49,9,3)",mip,MIP-Cpx,115.96,115.02,No,Optimal,278125,103.23,,,0.00%,18.80%
54,"(49,9,3)",mip,MIP-Uni,68.12,68.01,Yes,Feasible,199286,58.51,,,39.56%,65.80%
54,"(49,9,3)",maxsat,PhG-Cpx,122.88,123.94,Yes,Feasible,273336,3.45,13436,1461822,1.75%,20.88%
54,"(49,9,3)",maxsat,PhG-Uni,88.65,88.36,Yes,Feasible,276432,4.71,9966,1125361,0.61%,19.53%
55,"(50,9,3)",maxsat,Asm-Cpx,114.58,115.44,Yes,Optimal,245346,0.11,25045839,320,14.90%,34.67%
55,"(50,9,3)",maxsat,Asm-Uni,60.65,61.53,Yes,Optimal,245346,0.1,13212550,320,14.90%,34.67%
55,"(50,9,3)",mip,MIP-Cpx,116.9,116.02,No,Optimal,281914,105.33,,,0.00%,17.20%
55,"(50,9,3)",mip,MIP-Uni,68.14,68.02,Yes,Feasible,199286,68.02,,,41.46%,65.80%
55,"(50,9,3)",maxsat,PhG-Cpx,123.57,125.26,Yes,Feasible,280377,2.53,16053,2206615,0.55%,17.84%
55,"(50,9,3)",maxsat,PhG-Uni,88.69,91.15,Yes,Feasible,280387,3.29,9661,1071951,0.54%,17.84%
56,"(51,9,3)",maxsat,Asm-Cpx,115.21,116.63,Yes,Optimal,245346,110.47,23491838,388,19.53%,34.67%
56,"(51,9,3)",maxsat,Asm-Uni,60.47,61.36,Yes,Feasible,245346,57.56,12370564,388,19.53%,34.67%
56,"(51,9,3)",mip,MIP-Cpx,117.87,117.02,No,Optimal,281919,112.51,,,4.02%,17.20%
56,"(51,9,3)",mip,MIP-Uni,68.17,68.02,Yes,Feasible,199368,68.02,,,47.10%,65.73%
56,"(51,9,3)",maxsat,PhG-Cpx,124.1,126.26,Yes,Optimal,288754,5.66,11112,1305988,1.56%,14.43%
56,"(51,9,3)",maxsat,PhG-Uni,88.2,91.43,Yes,Optimal,293264,4.87,14427,1740055,0.00%,12.67%
57,"(52,9,3)",maxsat,Asm-Cpx,115.68,116.28,Yes,Feasible,250784,0.09,23538211,429,17.92%,31.75%
57,"(52,9,3)",maxsat,Asm-Uni,60.25,61.53,Yes,Optimal,250784,0.08,12452179,429,17.92%,31.75%
57,"(52,9,3)",mip,MIP-Cpx,118.86,118.02,No,Optimal,292622,109.05,,,1.06%,12.91%
57,"(52,9,3)",mip,MIP-Uni,68.2,68.02,Yes,Feasible,199368,68.02,,,48.33%,65.73%
57,"(52,9,3)",maxsat,PhG-Cpx,124.47,125.87,Yes,Optimal,295729,4.82,15036,1326564,0.00%,11.73%
57,"(52,9,3)",maxsat,PhG-Uni,87.4,87.71,Yes,Feasible,293504,4.73,14678,1738566,0.76%,12.57%
58,"(53,9,3)",maxsat,Asm-Cpx,116.29,117.72,Yes,Optimal,255973,0.1,23059935,389,16.83%,29.08%
58,"(53,9,3)",maxsat,Asm-Uni,59.83,60.44,Yes,Optimal,255973,0.11,11687873,389,16.83%,29.08%
58,"(53,9,3)",mip,MIP-Cpx,119.91,119.02,No,Optimal,292622,119.02,,,2.20%,12.91%
58,"(53,9,3)",mip,MIP-Uni,68.26,68.02,Yes,Feasible,204298,59.43,,,46.38%,61.73%
58,"(53,9,3)",maxsat,PhG-Cpx,124.9,125.87,Yes,Feasible,295729,123.06,12980,1532010,1.12%,11.73%
58,"(53,9,3)",maxsat,PhG-Uni,87.29,90.42,Yes,Optimal,299049,5.59,9569,990292,0.00%,10.49%
59,"(53,9,4)",maxsat,Asm-Cpx,140.55,141.65,Yes,Feasible,255973,134.17,28058081,317,23.62%,29.08%
59,"(53,9,4)",maxsat,Asm-Uni,59.52,60.47,Yes,Feasible,255973,56.78,11724801,317,23.62%,29.08%
59,"(53,9,4)",mip,MIP-Cpx,146.1,146.02,Yes,Feasible,292943,137.74,,,8.02%,12.79%
59,"(53,9,4)",mip,MIP-Uni,68.39,68.02,Yes,Feasible,219482,59.97,,,44.18%,50.54%
59,"(53,9,4)",maxsat,PhG-Cpx,151.24,152.79,Yes,Optimal,316445,146.63,31035,5527721,0.00%,4.41%
59,"(53,9,4)",maxsat,PhG-Uni,85.72,85.96,Yes,Optimal,299049,84.95,23517,4181282,5.82%,10.49%
60,"(54,9,4)",maxsat,Asm-Cpx,140.23,141.32,Yes,Optimal,262231,0.13,28033546,310,26.00%,26.00%
60,"(54,9,4)",maxsat,Asm-Uni,58.57,59.58,Yes,Optimal,262231,0.13,11646796,310,26.00%,26.00%
60,"(54,9,4)",mip,MIP-Cpx,147.0,146.02,No,Optimal,299041,137.35,,,10.49%,10.49%
60,"(54,9,4)",mip,MIP-Uni,68.76,68.02,No,Optimal,227770,54.39,,,45.06%,45.06%
60,"(54,9,4)",mip,Mono-MIP,3600.0,,No,Optimal,312872,3508.45,,,5.60%,5.60%
60,"(54,9,4)",maxsat,Mono-SAT,3600.0,3580.62,Yes,Feasible,330407,1299.74,95038,13172506,0.00%,0.00%
60,"(54,9,4)",maxsat,PhG-Cpx,150.51,151.77,Yes,Optimal,316445,149.19,29227,5546305,4.41%,4.41%
60,"(54,9,4)",maxsat,PhG-Uni,85.49,87.9,Yes,Optimal,299049,84.84,23740,4252827,10.49%,10.49%
